url,release_date,num_files,total_uncompressed_size,num_entries,num_bases,error
https://www.ncbi.nlm.nih.gov/genbank/release/153/,,,,,,"missing: release_date,num_files,total_uncompressed_size,num_entries,num_bases"
https://www.ncbi.nlm.nih.gov/genbank/release/154/,,,,,,"missing: release_date,num_files,total_uncompressed_size,num_entries,num_bases"
https://www.ncbi.nlm.nih.gov/genbank/release/155/,,,,,,"missing: release_date,num_files,total_uncompressed_size,num_entries,num_bases"
https://www.ncbi.nlm.nih.gov/genbank/release/156/,,,,,,"missing: release_date,num_files,total_uncompressed_size,num_entries,num_bases"
https://www.ncbi.nlm.nih.gov/genbank/release/157/,,,,,,"missing: release_date,num_files,total_uncompressed_size,num_entries,num_bases"
https://www.ncbi.nlm.nih.gov/genbank/release/158/,,,,,,"missing: release_date,num_files,total_uncompressed_size,num_entries,num_bases"
https://www.ncbi.nlm.nih.gov/genbank/release/159/,,,,,,"missing: release_date,num_files,total_uncompressed_size,num_entries,num_bases"
https://www.ncbi.nlm.nih.gov/genbank/release/160/,,,,,,"missing: release_date,num_files,total_uncompressed_size,num_entries,num_bases"
https://www.ncbi.nlm.nih.gov/genbank/release/161/,,,,,,"missing: release_date,num_files,total_uncompressed_size,num_entries,num_bases"
https://www.ncbi.nlm.nih.gov/genbank/release/162/,,,,,,"missing: release_date,num_files,total_uncompressed_size,num_entries,num_bases"
https://www.ncbi.nlm.nih.gov/genbank/release/163/,,,,,,"missing: release_date,num_files,total_uncompressed_size,num_entries,num_bases"
https://www.ncbi.nlm.nih.gov/genbank/release/164/,,,,,,"missing: release_date,num_files,total_uncompressed_size,num_entries,num_bases"
https://www.ncbi.nlm.nih.gov/genbank/release/165/,,,,,,"missing: release_date,num_files,total_uncompressed_size,num_entries,num_bases"
https://www.ncbi.nlm.nih.gov/genbank/release/166/,,,,,,"missing: release_date,num_files,total_uncompressed_size,num_entries,num_bases"
https://www.ncbi.nlm.nih.gov/genbank/release/167/,,,,,,"missing: release_date,num_files,total_uncompressed_size,num_entries,num_bases"
https://www.ncbi.nlm.nih.gov/genbank/release/168/,,,,,,"missing: release_date,num_files,total_uncompressed_size,num_entries,num_bases"
https://www.ncbi.nlm.nih.gov/genbank/release/169/,,,,,,"missing: release_date,num_files,total_uncompressed_size,num_entries,num_bases"
https://www.ncbi.nlm.nih.gov/genbank/release/170/,,,,,,"missing: release_date,num_files,total_uncompressed_size,num_entries,num_bases"
https://www.ncbi.nlm.nih.gov/genbank/release/171/,,,,,,"missing: release_date,num_files,total_uncompressed_size,num_entries,num_bases"
https://www.ncbi.nlm.nih.gov/genbank/release/172/,,,,,,"missing: release_date,num_files,total_uncompressed_size,num_entries,num_bases"
https://www.ncbi.nlm.nih.gov/genbank/release/173/,,,,,,"missing: release_date,num_files,total_uncompressed_size,num_entries,num_bases"
https://www.ncbi.nlm.nih.gov/genbank/release/174/,,,,,,"missing: release_date,num_files,total_uncompressed_size,num_entries,num_bases"
https://www.ncbi.nlm.nih.gov/genbank/release/175/,,,,,,"missing: release_date,num_files,total_uncompressed_size,num_entries,num_bases"
https://www.ncbi.nlm.nih.gov/genbank/release/176/,,,,,,"missing: release_date,num_files,total_uncompressed_size,num_entries,num_bases"
https://www.ncbi.nlm.nih.gov/genbank/release/177/,,,,,,"missing: release_date,num_files,total_uncompressed_size,num_entries,num_bases"
https://www.ncbi.nlm.nih.gov/genbank/release/178/,,,,,,"missing: release_date,num_files,total_uncompressed_size,num_entries,num_bases"
https://www.ncbi.nlm.nih.gov/genbank/release/179/,,,,,,"missing: release_date,num_files,total_uncompressed_size,num_entries,num_bases"
https://www.ncbi.nlm.nih.gov/genbank/release/180/,,,,,,"missing: release_date,num_files,total_uncompressed_size,num_entries,num_bases"
https://www.ncbi.nlm.nih.gov/genbank/release/181/,,,,,,"missing: release_date,num_files,total_uncompressed_size,num_entries,num_bases"
https://www.ncbi.nlm.nih.gov/genbank/release/182/,,,,,,"missing: release_date,num_files,total_uncompressed_size,num_entries,num_bases"
https://www.ncbi.nlm.nih.gov/genbank/release/183/,,,,,,"missing: release_date,num_files,total_uncompressed_size,num_entries,num_bases"
https://www.ncbi.nlm.nih.gov/genbank/release/184/,,,,,,"missing: release_date,num_files,total_uncompressed_size,num_entries,num_bases"
https://www.ncbi.nlm.nih.gov/genbank/release/185/,,,,,,"missing: release_date,num_files,total_uncompressed_size,num_entries,num_bases"
https://www.ncbi.nlm.nih.gov/genbank/release/186/,,,,,,"missing: release_date,num_files,total_uncompressed_size,num_entries,num_bases"
https://www.ncbi.nlm.nih.gov/genbank/release/187/,,,,,,"missing: release_date,num_files,total_uncompressed_size,num_entries,num_bases"
https://www.ncbi.nlm.nih.gov/genbank/release/188/,,,,,,"missing: release_date,num_files,total_uncompressed_size,num_entries,num_bases"
https://www.ncbi.nlm.nih.gov/genbank/release/189/,,,,,,"missing: release_date,num_files,total_uncompressed_size,num_entries,num_bases"
https://www.ncbi.nlm.nih.gov/genbank/release/190/,,,,,,"missing: release_date,num_files,total_uncompressed_size,num_entries,num_bases"
https://www.ncbi.nlm.nih.gov/genbank/release/191/,,,,,,"missing: release_date,num_files,total_uncompressed_size,num_entries,num_bases"
https://www.ncbi.nlm.nih.gov/genbank/release/192/,,,,,,"missing: release_date,num_files,total_uncompressed_size,num_entries,num_bases"
https://www.ncbi.nlm.nih.gov/genbank/release/193/,,,,,,"missing: release_date,num_files,total_uncompressed_size,num_entries,num_bases"
https://www.ncbi.nlm.nih.gov/genbank/release/194/,,,,,,"missing: release_date,num_files,total_uncompressed_size,num_entries,num_bases"
https://www.ncbi.nlm.nih.gov/genbank/release/195/,,,,,,"missing: release_date,num_files,total_uncompressed_size,num_entries,num_bases"
https://www.ncbi.nlm.nih.gov/genbank/release/196/,,,,,,"missing: release_date,num_files,total_uncompressed_size,num_entries,num_bases"
